1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,80,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,0,1,1,1,0,1,1,1,1
-
1,0,0,0,0,0,0,1,0,1,0,1,1
1,0,0,0,1,0,0,1,0,0,0,0,1
1,0,0,1,0,0,1,79,0,0,0,1,1
1,0,1,0,0,0,0,1,50,1,0,0,1
1,0,0,0,78,0,0,0,1,0,0,0,1
1,1,0,0,0,0,0,1,50,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1
-
1,1,1,1,1,0,0,0,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,100,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1
